game_id,season,week,temp,wind,calendar_week,focus_team,focus_score,focus_temp_delta,avg_temp,attempts,carries,passing_epa,rushing_epa,conventional_plays_ran,pass_to_run_ratio
2024_06_HOU_NE,2024,6,53.0,5.0,41,NE,21,-2.1881249999999923,55.18812499999999,33,26,-9.781366722367238,-4.25241336756153,59,1.2692307692307692
2024_06_TB_NO,2024,6,70.0,0.0,41,NO,27,0.0,70.0,40,21,-13.846393132651176,-4.212358797669136,61,1.9047619047619047
2024_06_CLE_PHI,2024,6,82.0,10.0,41,PHI,20,22.16514285714286,59.83485714285714,25,36,7.14371745643391,-0.8704433896346018,61,0.6944444444444444
2024_06_IND_TEN,2024,6,80.0,12.0,41,TEN,17,15.293142857142854,64.70685714285715,27,28,-5.684862375749349,4.258463763457257,55,0.9642857142857143
2024_06_LAC_DEN,2024,6,65.0,7.0,41,DEN,16,7.836346153846151,57.16365384615385,33,18,-3.4612769858357497,0.15607624544601784,51,1.8333333333333333
2024_06_PIT_LV,2024,6,70.0,0.0,41,LV,13,0.0,70.0,40,19,-3.816641160883475,-11.065612592268735,59,2.1052631578947367
2024_06_ATL_CAR,2024,6,79.0,9.0,41,CAR,20,14.572307692307703,64.4276923076923,38,24,-4.906794649207466,-1.2027608566149528,62,1.5833333333333333
2024_06_DET_DAL,2024,6,70.0,0.0,41,DAL,9,0.0,70.0,44,17,-23.01426785709255,-2.7531282074633054,61,2.588235294117647
2024_06_CIN_NYG,2024,6,63.0,2.0,41,NYG,7,2.4639999999999986,60.536,41,31,-15.26495139174108,3.9119349543761928,72,1.3225806451612903
2024_06_BUF_NYJ,2024,6,49.0,14.0,42,NYJ,20,-8.419428571428561,57.41942857142856,35,21,11.15705159996046,-0.023232848849147558,56,1.6666666666666667
2024_07_DEN_NO,2024,7,70.0,0.0,42,NO,10,0.0,70.0,39,21,-24.366257656779574,1.187386940815486,60,1.8571428571428572
2024_07_NE_JAX,2024,7,63.0,12.0,42,JAX,32,-4.835824175824186,67.83582417582419,20,39,11.188944673076191,3.267491251754109,59,0.5128205128205128
2024_07_SEA_ATL,2024,7,70.0,0.0,42,ATL,14,0.0,70.0,36,32,-8.05342281982071,1.1394699278171174,68,1.125
2024_07_TEN_BUF,2024,7,66.0,12.0,42,BUF,34,14.540199999999999,51.4598,33,20,12.851946564213346,-0.9920269756403286,53,1.65
2024_07_CIN_CLE,2024,7,62.0,8.0,42,CLE,14,9.406285714285715,52.593714285714285,52,21,-11.96123540036194,0.05145782178880154,73,2.4761904761904763
2024_07_HOU_GB,2024,7,72.0,3.0,42,GB,24,25.709714285714277,46.29028571428572,33,20,-0.6216179161382076,-3.758396455203183,53,1.65
2024_07_MIA_IND,2024,7,70.0,0.0,42,IND,16,0.0,70.0,24,37,-5.32929617855242,-6.34667135819392,61,0.6486486486486487
2024_07_DET_MIN,2024,7,70.0,0.0,42,MIN,29,0.0,70.0,27,21,-0.7669991719308661,3.593168544408517,48,1.2857142857142858
2024_07_PHI_NYG,2024,7,71.0,4.0,42,NYG,3,13.580571428571439,57.41942857142856,29,18,-22.546131883282214,-0.7715208005683962,47,1.6111111111111112
2024_07_LV_LA,2024,7,70.0,0.0,42,LAR,20,0.0,70.0,23,28,-7.252890682794836,-9.387659328698646,51,0.8214285714285714
2024_07_CAR_WAS,2024,7,76.0,2.0,42,WAS,40,19.27657142857143,56.72342857142857,25,37,10.592093815610447,5.830696346678428,62,0.6756756756756757
2024_07_KC_SF,2024,7,78.0,3.0,42,SF,18,12.808791208791206,65.1912087912088,31,24,-10.695416634941559,0.43641983579204613,55,1.2916666666666667
2024_07_NYJ_PIT,2024,7,60.0,4.0,42,PIT,37,9.448131868131874,50.551868131868126,29,36,8.761338668603008,1.5770494626194704,65,0.8055555555555556
2024_07_BAL_TB,2024,7,80.0,8.0,43,TB,31,3.356571428571428,76.64342857142857,45,30,12.246047927204899,-2.5358686106193957,75,1.5
2024_07_LAC_ARI,2024,7,70.0,0.0,43,ARI,17,0.0,70.0,26,29,-0.3420845066430047,1.1532369001092326,55,0.896551724137931
2024_08_MIN_LA,2024,8,70.0,0.0,43,LAR,30,0.0,70.0,34,32,15.890277726517525,-6.219372976804152,66,1.0625
2024_08_PHI_CIN,2024,8,59.0,6.0,43,CIN,17,2.480571428571423,56.51942857142858,37,20,6.644946539542049,-2.4588730165269226,57,1.85
2024_08_BAL_CLE,2024,8,52.0,4.0,43,CLE,29,-4.169714285714292,56.16971428571429,41,23,11.89956042086482,-3.074990310127302,64,1.7826086956521738
2024_08_TEN_DET,2024,8,70.0,0.0,43,DET,52,0.0,70.0,19,24,-4.37782215814002,5.56175988301402,43,0.7916666666666666
2024_08_IND_HOU,2024,8,70.0,0.0,43,HOU,23,0.0,70.0,37,29,5.503707473111151,-10.224372290656902,66,1.2758620689655173
2024_08_GB_JAX,2024,8,84.0,4.0,43,JAX,27,12.305054945054962,71.69494505494504,32,23,5.368962183812849,-1.9392840950059171,55,1.391304347826087
2024_08_ARI_MIA,2024,8,82.0,14.0,43,MIA,27,3.3542857142857088,78.64571428571429,38,25,8.731976428380111,3.6119985889818054,63,1.52
2024_08_NYJ_NE,2024,8,53.0,8.0,43,NE,25,-2.5083673469387833,55.50836734693878,30,31,-0.058114902106128685,2.4198589993757196,61,0.967741935483871
2024_08_ATL_TB,2024,8,79.0,6.0,43,TB,26,2.356571428571428,76.64342857142857,50,22,8.490934669140152,-2.7055151623790152,72,2.272727272727273
2024_08_NO_LAC,2024,8,70.0,0.0,43,LAC,26,0.0,70.0,32,29,2.1494329552558167,-2.2815170140820555,61,1.103448275862069
